Gene ID (RS),Gene ID (LPD),Annotation
PD630_RS00005,"Pd630_LPD00001	",chromosomal replication initiator protein DnaA
PD630_RS02085,"Pd630_LPD00444	",1-acyl-sn-glycerol-3-phosphate acyltransferase
PD630_RS02090,"Pd630_LPD00445	",haloacid dehalogenase
PD630_RS02095,"Pd630_LPD00446	",cold-shock protein
PD630_RS02100,"Pd630_LPD00448	",stage II sporulation protein
PD630_RS02105,"Pd630_LPD00449	",GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol dimannoside mannosyltransferase
PD630_RS02110,"Pd630_LPD00450	",UDP-galactopyranose mutase
PD630_RS02115,"Pd630_LPD00451	",glycosyl transferase
PD630_RS02120,"Pd630_LPD00452	",phosphatase PAP2 family protein
PD630_RS02125,"Pd630_LPD00453	",decaprenyl-phosphate phosphoribosyltransferase
PD630_RS02130,"Pd630_LPD00454	",hypothetical protein
PD630_RS02135,"Pd630_LPD00455	",mycolyltransferase
PD630_RS02140,"Pd630_LPD00456	",mycolyltransferase
PD630_RS02145,"Pd630_LPD00457	",esterase
PD630_RS02150,"Pd630_LPD00458	",hypothetical protein
PD630_RS02155,"Pd630_LPD00459	",cutinase (pseudogene)
PD630_RS02160,"Pd630_LPD00460	",hypothetical protein
PD630_RS02165,"Pd630_LPD00461	",LLM class F420-dependent oxidoreductase
PD630_RS02170,"Pd630_LPD00463	",fatty-acid--CoA ligase
PD630_RS02175,"Pd630_LPD00464	",polyketide synthase
PD630_RS02180,"Pd630_LPD00465	",acetyl-CoA carboxylase subunit beta
PD630_RS02185,"Pd630_LPD00466	",hypothetical protein
PD630_RS02190,"Pd630_LPD00467	",arabinosyltransferase
PD630_RS02195,"Pd630_LPD00468	",arabinosyltransferase
PD630_RS02200,"Pd630_LPD00469	",transcriptional regulator
PD630_RS02205,"Pd630_LPD00470	",type I methionyl aminopeptidase
PD630_RS02210,"Pd630_LPD00471	",hypothetical protein
PD630_RS02215,"Pd630_LPD00472	",membrane protein
PD630_RS02220,"Pd630_LPD00473	",hypothetical protein
PD630_RS02225,"Pd630_LPD00474	",arabinofuranosyltransferase
PD630_RS02230,"Pd630_LPD00475	",decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase
PD630_RS02235,"Pd630_LPD00476	",decaprenylphosphoryl-beta-D-ribose oxidase
PD630_RS02240,"Pd630_LPD00477	",polysaccharide biosynthesis protein GtrA
PD630_RS02245,"Pd630_LPD00478	",DUF4935 domain-containing protein
PD630_RS02250,"Pd630_LPD00479	",esterase
PD630_RS02255,"Pd630_LPD00480	",serine protease
PD630_RS02260,"Pd630_LPD00481	",PPOX class F420-dependent enzyme
PD630_RS02265,"Pd630_LPD00482	",LacI family transcriptional regulator
PD630_RS02270,"Pd630_LPD00483	",D-ribose transporter ATP-binding protein
PD630_RS02275,"Pd630_LPD00484	",ATPase
PD630_RS02280,"Pd630_LPD00485	",ATPase
PD630_RS02285,"Pd630_LPD00486	",rhamnose ABC transporter substrate-binding protein
PD630_RS02290,"Pd630_LPD00487	",L-rhamnose mutarotase
PD630_RS02295,"Pd630_LPD00488	",L-rhamnose isomerase
PD630_RS02300,"Pd630_LPD00489	",arabinose isomerase
PD630_RS02305,"Pd630_LPD00490	",short-chain dehydrogenase
PD630_RS02310,"Pd630_LPD00491	",carbohydrate kinase
PD630_RS02315,"Pd630_LPD00492	",enoyl-CoA hydratase
PD630_RS02320,"Pd630_LPD00493	",polyketide cyclase
PD630_RS02325,"Pd630_LPD00494	",dTDP-4-dehydrorhamnose 3%2C5-epimerase
PD630_RS02330,"Pd630_LPD00495	",glucose-1-phosphate thymidylyltransferase
PD630_RS02335,"Pd630_LPD00496	",dTDP-glucose 4%2C6-dehydratase
PD630_RS02340,"Pd630_LPD00497	",SAM-dependent methyltransferase
PD630_RS02345,"Pd630_LPD00498	",membrane protein
PD630_RS02350,"Pd630_LPD00499	",acyl-ACP--UDP-N- acetylglucosamine O-acyltransferase
PD630_RS02355,"Pd630_LPD00500	",aminotransferase
PD630_RS02360,"Pd630_LPD00501	",oxidoreductase
PD630_RS02365,"Pd630_LPD00502	",thioredoxin reductase
PD630_RS02370,"Pd630_LPD00503	",XRE family transcriptional regulator
PD630_RS02375,"Pd630_LPD00504	",lipase
PD630_RS02380,"Pd630_LPD00505	",membrane protein
PD630_RS02385,"Pd630_LPD00506	",dolichyl-phosphate beta-glucosyltransferase
PD630_RS02390,"Pd630_LPD00507	",glycosyl transferase
PD630_RS02395,"Pd630_LPD00508	",mannosyltransferase
PD630_RS02400,"Pd630_LPD00509	",hypothetical protein
PD630_RS02405,"Pd630_LPD00510	",ribosome small subunit-dependent GTPase A
PD630_RS02410,"Pd630_LPD00511	",glycosyl transferase
PD630_RS02415,"Pd630_LPD00512	",ABC transporter ATP-binding protein
PD630_RS02420,"Pd630_LPD00513	",sugar ABC transporter permease
PD630_RS02425,"Pd630_LPD00514	",hypothetical protein
PD630_RS02430,"Pd630_LPD00515	",cysteine desulfurase-like protein
PD630_RS02435,"Pd630_LPD00516	",NAD(P)H quinone oxidoreductase
PD630_RS02440,"Pd630_LPD00517	",MarR family transcriptional regulator
PD630_RS02445,"Pd630_LPD00518	",tRNA-Ser
PD630_RS02450,"Pd630_LPD00519	",hypothetical protein
PD630_RS02455,"Pd630_LPD00520	",hypothetical protein
PD630_RS02460,"Pd630_LPD00521	",ArsR family transcriptional regulator
PD630_RS02465,"Pd630_LPD00522	",transcriptional regulator
PD630_RS02470,"Pd630_LPD00523	",hypothetical protein
PD630_RS02475,"Pd630_LPD00524	",esterase
PD630_RS02480,"Pd630_LPD00525	",bifunctional metallophosphatase/5'-nucleotidase
PD630_RS02485,"Pd630_LPD00526	",histidinol-phosphate transaminase
PD630_RS02490,"Pd630_LPD00527	",carboxymethylenebutenolidase
PD630_RS02495,"Pd630_LPD00528	",tRNA-Ser
PD630_RS02500,"Pd630_LPD00529	",tRNA-Arg
PD630_RS02505,"Pd630_LPD00530	",glyoxalase/bleomycin resistance/dioxygenase family protein
PD630_RS02510,"Pd630_LPD00531	",transcriptional regulator
PD630_RS02515,"Pd630_LPD00532	",hypothetical protein
PD630_RS02520,"Pd630_LPD00533	",ketosteroid isomerase
PD630_RS02525,"Pd630_LPD00534	",LysR family transcriptional regulator
PD630_RS02530,"Pd630_LPD00535	",gluconate 5-dehydrogenase
PD630_RS02535,"Pd630_LPD00536	",fumarylacetoacetate hydrolase
PD630_RS02540,"Pd630_LPD00537	",MFS transporter
PD630_RS02545,"Pd630_LPD00539	",2-hydroxyacid dehydrogenase
PD630_RS02550,"Pd630_LPD00540	",potassium transporter
PD630_RS02555,"Pd630_LPD00541	",MFS transporter
PD630_RS02560,"Pd630_LPD00542	",serine hydrolase
PD630_RS02565,"Pd630_LPD00543	",hydroxylase
PD630_RS02570,"Pd630_LPD00544	",nitroreductase family deazaflavin-dependent oxidoreductase
PD630_RS02575,"Pd630_LPD00545	",SAM-dependent methyltransferase (pseudogene)
PD630_RS02580,"Pd630_LPD00547	",hypothetical protein
PD630_RS02585,"Pd630_LPD00548	",very short patch repair endonuclease
PD630_RS02590,"Pd630_LPD00549	",DNA methyltransferase
PD630_RS02595,"Pd630_LPD00550	",hypothetical protein
PD630_RS02600,"Pd630_LPD00551	",hypothetical protein
PD630_RS02605,"Pd630_LPD00552	",hypothetical protein
PD630_RS02610,"Pd630_LPD00553	",prephenate dehydrogenase
PD630_RS02615,"Pd630_LPD00554	",tRNA adenosine deaminase
PD630_RS02620,"Pd630_LPD00555	",tRNA-specific adenosine deaminase
PD630_RS02625,"Pd630_LPD00556	",CsbD family protein
PD630_RS02630,"Pd630_LPD00557	",tRNA-Ser
PD630_RS02635,"Pd630_LPD00558	",short-chain dehydrogenase
PD630_RS02640,none,hypothetical protein
PD630_RS02645,"Pd630_LPD00559	",C-5 sterol desaturase
PD630_RS02650,"Pd630_LPD00560	",dioxygenase
PD630_RS02655,"Pd630_LPD00561	",Rrf2 family transcriptional regulator
PD630_RS02660,"Pd630_LPD00562	",IclR family transcriptional regulator
PD630_RS02665,"Pd630_LPD00563	",ferredoxin
PD630_RS02670,"Pd630_LPD00564	",hypothetical protein
PD630_RS02675,"Pd630_LPD00565	",vanillate monooxygenase subunit
PD630_RS02680,"Pd630_LPD00566	",methyltransferase
PD630_RS02685,"Pd630_LPD00567	",TetR family transcriptional regulator
PD630_RS02690,"Pd630_LPD00568	",membrane protein
PD630_RS02695,"Pd630_LPD00569	",multidrug ABC transporter ATP-binding protein
PD630_RS02700,"Pd630_LPD00570	",multidrug ABC transporter ATP-binding protein
PD630_RS02705,"Pd630_LPD00571	",hypothetical protein
PD630_RS02710,"Pd630_LPD00572	",arylsulfatase
PD630_RS02715,"Pd630_LPD00573	",tRNA-guanine(34) transglycosylase
PD630_RS02720,"Pd630_LPD00574	",membrane protein
PD630_RS02725,"Pd630_LPD00575	",RDD family protein
PD630_RS02730,none,hypothetical protein
PD630_RS02735,"Pd630_LPD00577	",hypothetical protein
PD630_RS02740,"Pd630_LPD00578	",tRNA glutamyl-Q(34) synthetase GluQRS
PD630_RS02745,"Pd630_LPD00579	",TetR family transcriptional regulator
PD630_RS02750,"Pd630_LPD00580	",deaminase reductase
PD630_RS02755,"Pd630_LPD00581	",TetR family transcriptional regulator
PD630_RS02760,none,1-acyl-sn-glycerol-3-phosphate acyltransferase (pseudogene)
PD630_RS02765,"Pd630_LPD00583	",TetR family transcriptional regulator
PD630_RS02770,"Pd630_LPD00584	",metallophosphatase
PD630_RS02775,"Pd630_LPD00585	",TIGR03086 family protein
PD630_RS02780,"Pd630_LPD00586	",AraC family transcriptional regulator
PD630_RS02785,"Pd630_LPD00587	",hypothetical protein
PD630_RS02790,"Pd630_LPD00588	",DUF1275 family protein
PD630_RS02795,"Pd630_LPD00589	",esterase
PD630_RS02800,"Pd630_LPD00590	",tRNA-Ser
PD630_RS02805,"Pd630_LPD00591	",hypothetical protein
PD630_RS41620,none,signal recognition particle sRNA small type
PD630_RS02810,"Pd630_LPD00592	",aminotransferase
PD630_RS02815,"Pd630_LPD00593	",membrane protein
PD630_RS02820,"Pd630_LPD00594	",Fe2+-enterobactin ABC transporter substrate-binding protein
PD630_RS02825,"Pd630_LPD00595	",enterochelin esterase
PD630_RS02830,"Pd630_LPD00596	",Fe-S cluster assembly protein HesB
PD630_RS02835,"Pd630_LPD00597	",ammonia channel protein
PD630_RS02840,none,DNA polyerase III subunit gamma/tau (pseudogene)
PD630_RS02845,"Pd630_LPD00601	",hypothetical protein
PD630_RS02850,"Pd630_LPD00602	",two-component sensor histidine kinase
PD630_RS02855,"Pd630_LPD00603	",DNA-binding response regulator
PD630_RS02860,"Pd630_LPD00604	",amidase
PD630_RS02865,"Pd630_LPD00605	",acetyl-CoA acetyltransferase
PD630_RS02870,"Pd630_LPD00606	",3-hydroxyacyl-CoA dehydrogenase
PD630_RS02875,none,hypothetical protein (pseudogene)
PD630_RS02880,"Pd630_LPD00608	",SAM-dependent methyltransferase
PD630_RS02885,"Pd630_LPD00609	",FAD-linked oxidase
PD630_RS02890,"Pd630_LPD00610	",polyketide cyclase
PD630_RS02895,"Pd630_LPD00611	",nucleoid-associated protein%2C YbaB/EbfC family
PD630_RS02900,"Pd630_LPD00612	",recombination protein RecR
PD630_RS02905,"Pd630_LPD00613	",TetR family transcriptional regulator
PD630_RS02910,"Pd630_LPD00614	",MFS transporter
PD630_RS02915,"Pd630_LPD00615	",transcriptional regulator
PD630_RS02920,"Pd630_LPD00616	",hypothetical protein
PD630_RS02925,"Pd630_LPD00618	",hypothetical protein
PD630_RS02930,"Pd630_LPD00619	",glutamine amidotransferase
PD630_RS02935,"Pd630_LPD00620	",UDP-N-acetylmuramyl peptide synthase
PD630_RS02940,"Pd630_LPD00621	",EamA family transporter
PD630_RS02945,"Pd630_LPD00622	",LysR family transcriptional regulator
PD630_RS02950,"Pd630_LPD00623	",membrane protein
PD630_RS02955,"Pd630_LPD00624	",fused acetyl/propionyl-CoA carboxylase subuit alpha/methylmalonyl-CoA decarboxylase subunit alpha
PD630_RS41750,none,hypothetical protein
PD630_RS02960,"Pd630_LPD00625	",cytochrome ubiquinol oxidase subunit I
PD630_RS02965,"Pd630_LPD00626	",2-isopropylmalate synthase
PD630_RS02970,"Pd630_LPD00627	",hypothetical protein
PD630_RS02975,"Pd630_LPD00628	",hypothetical protein
PD630_RS02980,"Pd630_LPD00629	",hypothetical protein
PD630_RS02985,"Pd630_LPD00630	",hypothetical protein
PD630_RS02990,"Pd630_LPD00631	",polyketide synthase
PD630_RS02995,"Pd630_LPD00632	",methylase
PD630_RS03000,"Pd630_LPD00633	",transcriptional regulator
PD630_RS03005,"Pd630_LPD00634	",membrane protein
PD630_RS03010,"Pd630_LPD00635	",fusaric acid resistance protein
PD630_RS03015,"Pd630_LPD00636	",gamma-glutamyltransferase
PD630_RS03020,"Pd630_LPD00637	",LLM class flavin-dependent oxidoreductase
PD630_RS03025,"Pd630_LPD00638	",hypothetical protein
PD630_RS03030,"Pd630_LPD00639	",carboxylate--amine ligase
PD630_RS03035,"Pd630_LPD00640	",iron siderophore-binding protein
PD630_RS03040,"Pd630_LPD00641	",dUTPase
PD630_RS03045,"Pd630_LPD00642	",polyketide cyclase
PD630_RS03050,"Pd630_LPD00643	",glycosyl transferase
PD630_RS03055,"Pd630_LPD00644	",wax ester/triacylglycerol synthase family O-acyltransferase
PD630_RS03060,"Pd630_LPD00645	",FAD-dependent oxidoreductase
PD630_RS03065,"Pd630_LPD00646	",dehydrogenase
PD630_RS03070,"Pd630_LPD00647	",RNA polymerase subunit sigma-24
PD630_RS03075,"Pd630_LPD00648	",transcriptional regulator
PD630_RS03080,"Pd630_LPD00649	",hypothetical protein
PD630_RS03085,"Pd630_LPD00650	",enoyl-CoA hydratase
PD630_RS03090,"Pd630_LPD00651	",acyl-CoA dehydrogenase
PD630_RS03095,"Pd630_LPD00652	",TetR family transcriptional regulator
PD630_RS03100,"Pd630_LPD00653	",enoyl-CoA hydratase
PD630_RS03105,"Pd630_LPD00654	",phosphoesterase
PD630_RS03110,"Pd630_LPD00655	",alpha/beta hydrolase
PD630_RS03115,"Pd630_LPD00656	",short-chain dehydrogenase
PD630_RS03120,"Pd630_LPD00657	",ferredoxin
PD630_RS03125,"Pd630_LPD00658	",metal-dependent hydrolase
PD630_RS03130,"Pd630_LPD00659	",TetR family transcriptional regulator
PD630_RS03135,"Pd630_LPD00660	",hypothetical protein
PD630_RS03140,"Pd630_LPD00661	",glycosyltransferase
PD630_RS03145,"Pd630_LPD00662	",NAD-dependent dehydratase
PD630_RS03150,"Pd630_LPD00663	",5'-methylthioadenosine phosphorylase
PD630_RS03155,"Pd630_LPD00664	",hypothetical protein
PD630_RS03160,"Pd630_LPD00665	",hypothetical protein
PD630_RS03165,"Pd630_LPD00666	",methyltransferase type 12
PD630_RS03170,"Pd630_LPD00667	",hypothetical protein
PD630_RS03175,"Pd630_LPD00668	",membrane protein
PD630_RS03180,"Pd630_LPD00669	",low temperature requirement protein LtrA
PD630_RS03185,"Pd630_LPD00670	",hypothetical protein
PD630_RS03190,"Pd630_LPD00671	",hypothetical protein
PD630_RS03195,"Pd630_LPD00672	",sugar ABC transporter permease
PD630_RS03200,"Pd630_LPD00673	",ABC transporter permease
PD630_RS03205,"Pd630_LPD00674	",ABC transporter substrate-binding protein
PD630_RS03210,"Pd630_LPD00675	",alpha-glucosidase
PD630_RS03215,"Pd630_LPD00676	",LacI family transcriptional regulator
PD630_RS03220,"Pd630_LPD00677	",ABC transporter ATP-binding protein
PD630_RS03225,"Pd630_LPD00678	",MFS transporter
PD630_RS03230,"Pd630_LPD00679	",alcohol dehydrogenase
PD630_RS03235,"Pd630_LPD00680	",taurine dioxygenase
PD630_RS03240,"Pd630_LPD00681	",aldehyde dehydrogenase
PD630_RS03245,"Pd630_LPD00682	",fatty-acid--CoA ligase
PD630_RS03250,"Pd630_LPD00683	",hypothetical protein
PD630_RS03255,"Pd630_LPD00684	",CoA transferase
PD630_RS03260,"Pd630_LPD00685	",TetR family transcriptional regulator
PD630_RS03265,"Pd630_LPD00686	",enoyl-CoA hydratase
PD630_RS03270,"Pd630_LPD00687	",hypothetical protein
PD630_RS03275,"Pd630_LPD00688	",short-chain dehydrogenase
PD630_RS03280,"Pd630_LPD00689	",dehydratase MaoC
PD630_RS03285,"Pd630_LPD00690	",hypothetical protein
PD630_RS03290,"Pd630_LPD00691	",hydroxymethylglutaryl-CoA synthase
PD630_RS03295,"Pd630_LPD00692	",acetyl-CoA acetyltransferase
PD630_RS03300,"Pd630_LPD00693	",acyl-CoA dehydrogenase
PD630_RS03305,"Pd630_LPD00694	",acyl-CoA dehydrogenase
PD630_RS03310,"Pd630_LPD00695	",hypothetical protein
PD630_RS03315,"Pd630_LPD00696	",hypothetical protein
PD630_RS03320,"Pd630_LPD00697	",membrane protein
PD630_RS03325,"Pd630_LPD00698	",TetR family transcriptional regulator
PD630_RS03330,"Pd630_LPD00699	",nitrate ABC transporter permease
PD630_RS41755,none,hypothetical protein (pseudogene)
PD630_RS41275,"Pd630_LPD00701	",hypothetical protein
PD630_RS03340,"Pd630_LPD00702	",FUSC family protein
PD630_RS03345,"Pd630_LPD00703	",glucokinase
PD630_RS03350,"Pd630_LPD00704	",WhiB family transcriptional regulator
PD630_RS03355,"Pd630_LPD00705	",protein kinase
PD630_RS03360,"Pd630_LPD00706	",hypothetical protein
PD630_RS03365,"Pd630_LPD00707	",helix-turn-helix transcriptional regulator (pseudogene)
PD630_RS03370,none,LuxR family transcriptional regulator (pseudogene)
PD630_RS03375,"Pd630_LPD00710	",arylsulfatase
PD630_RS03380,"Pd630_LPD00711	",acyl-CoA dehydrogenase
PD630_RS03385,"Pd630_LPD00713	",TetR family transcriptional regulator
PD630_RS03390,"Pd630_LPD00714	",acetyl-CoA acetyltransferase
PD630_RS03395,"Pd630_LPD00715	",acyl-CoA dehydrogenase
PD630_RS03400,"Pd630_LPD00716	",dehydratase
PD630_RS03405,"Pd630_LPD00717	",3-oxoacyl-ACP reductase
PD630_RS03410,"Pd630_LPD00718	",CoA transferase
PD630_RS03415,"Pd630_LPD00719	",3-oxoacyl-ACP reductase
PD630_RS03420,"Pd630_LPD00720	",acyl dehydratase
PD630_RS03425,"Pd630_LPD00721	",acetyl-CoA acetyltransferase
PD630_RS03430,"Pd630_LPD00722	",MFS transporter (pseudogene)
PD630_RS03435,"Pd630_LPD00723	",fatty-acid--CoA ligase
PD630_RS03440,"Pd630_LPD00724	",enoyl-CoA hydratase
PD630_RS03445,"Pd630_LPD00725	",acyl-CoA dehydrogenase
PD630_RS03450,"Pd630_LPD00726	",acyl-CoA synthetase
PD630_RS03455,"Pd630_LPD00727	",acyl-CoA dehydrogenase
PD630_RS03460,"Pd630_LPD00728	",acyl-CoA dehydrogenase
PD630_RS03465,"Pd630_LPD00729	",alkyl sulfatase
PD630_RS03470,"Pd630_LPD00730	",AI-2E family transporter
PD630_RS03475,"Pd630_LPD00731	",hypothetical protein
PD630_RS03480,"Pd630_LPD00732	",sodium-independent anion transporter
PD630_RS03485,"Pd630_LPD00733	",sulfate transporter
PD630_RS03490,"Pd630_LPD00734	",hypothetical protein
PD630_RS03495,"Pd630_LPD00735	",membrane protein
PD630_RS03500,"Pd630_LPD00736	",hypothetical protein
PD630_RS03505,"Pd630_LPD00737	",aspartate kinase
PD630_RS03510,"Pd630_LPD00738	",aspartate-semialdehyde dehydrogenase
PD630_RS03515,"Pd630_LPD00739	",lipase
PD630_RS03520,"Pd630_LPD00741	",sulfate transporter
PD630_RS03525,none,membrane protein
PD630_RS03530,"Pd630_LPD00742	",hypothetical protein
PD630_RS03535,"Pd630_LPD00743	",sulfatase-modifying factor 1
PD630_RS03540,"Pd630_LPD00744	",copper oxidase
PD630_RS03545,"Pd630_LPD00745	",TetR family transcriptional regulator
PD630_RS03550,none,cyclohexanone monooxygenase (pseudogene)
PD630_RS03555,"Pd630_LPD00748	",cholesterol oxidase
PD630_RS03560,"Pd630_LPD00749	",hypothetical protein
PD630_RS03565,"Pd630_LPD00750	",ATPase
PD630_RS03570,"Pd630_LPD00751	",transcriptional regulator
PD630_RS03575,"Pd630_LPD00752	",transcriptional repressor
PD630_RS03580,"Pd630_LPD00753	",catalase
PD630_RS03585,"Pd630_LPD00755	",membrane protein
PD630_RS03590,"Pd630_LPD00756	",ABC transporter substrate-binding protein
PD630_RS03595,"Pd630_LPD00757	",tRNA-Pro
PD630_RS03600,"Pd630_LPD00758	",metallophosphoesterase
PD630_RS03605,"Pd630_LPD00759	",GatB/YqeY domain-containing protein
PD630_RS03610,"Pd630_LPD00760	",penicillin-binding protein
PD630_RS03615,none,transcriptional regulator
PD630_RS03620,"Pd630_LPD00762	",anion transporter
PD630_RS03625,"Pd630_LPD00763	",ATPase
PD630_RS03630,"Pd630_LPD00765	",LysR family transcriptional regulator
PD630_RS03635,"Pd630_LPD00766	",MBL fold metallo-hydrolase
PD630_RS03640,"Pd630_LPD00767	",Crp/Fnr family transcriptional regulator
PD630_RS41760,"Pd630_LPD00768	",hypothetical protein
PD630_RS03650,"Pd630_LPD00769	",endonuclease III
PD630_RS03655,"Pd630_LPD00770	",thioredoxin
PD630_RS03660,"Pd630_LPD00771	",coenzyme A pyrophosphatase
PD630_RS03665,"Pd630_LPD00772	",serine protease
PD630_RS03670,"Pd630_LPD00773	",alpha/beta hydrolase
PD630_RS03675,"Pd630_LPD00774	",membrane protein
PD630_RS03680,"Pd630_LPD00775	",sodium:proton antiporter
PD630_RS03685,"Pd630_LPD00776	",MFS transporter
PD630_RS03690,"Pd630_LPD00777	",cyclase
PD630_RS03695,"Pd630_LPD00778	",acetyl-coenzyme A synthetase
PD630_RS03700,"Pd630_LPD00779	",ABC transporter substrate-binding protein
PD630_RS03705,"Pd630_LPD00780	",ABC transporter permease
PD630_RS03710,"Pd630_LPD00781	",peptide ABC transporter permease
PD630_RS03715,"Pd630_LPD00782	",ABC transporter ATP-binding protein
PD630_RS03720,"Pd630_LPD00783	",hypothetical protein
PD630_RS03725,"Pd630_LPD00784	",inhibition of morphological differentiation protein
PD630_RS03730,"Pd630_LPD00785	",membrane protein
PD630_RS03735,"Pd630_LPD00786	",ATPase
PD630_RS03740,"Pd630_LPD00787	",secretion protein F
PD630_RS03745,"Pd630_LPD00788	",membrane protein
PD630_RS03750,none,hypothetical protein
PD630_RS03755,"Pd630_LPD00790	",hypothetical protein
PD630_RS03760,"Pd630_LPD00791	",pilus assembly protein TadE
PD630_RS03765,"Pd630_LPD00793	",MFS transporter
PD630_RS03770,"Pd630_LPD00794	",LysR family transcriptional regulator
PD630_RS03775,"Pd630_LPD00795	",3-oxoadipate--succinyl-CoA transferase subunit A
PD630_RS03780,"Pd630_LPD00796	",3-oxoadipate--succinyl-CoA transferase subunit B
PD630_RS03785,"Pd630_LPD00797	",DEAD/DEAH box helicase
PD630_RS03790,"Pd630_LPD00798	",cold-shock protein
PD630_RS03795,"Pd630_LPD00799	",hypothetical protein
PD630_RS03800,"Pd630_LPD00800	",DNA topoisomerase I
PD630_RS03805,"Pd630_LPD00801	",DNA polymerase III subunit delta'
PD630_RS03810,"Pd630_LPD00802	",tRNA-Thr
PD630_RS03815,"Pd630_LPD00803	",hypothetical protein
